Late,by auther,by term,KnownQoute,Version Id,Loaded,Book Title,Author,Date,Length,Edition / Editor,Tags,Status,url
,,Zuhd,,Sham19Y0020882,yes,1450KhalidRibat.JamicIbnHanbalAdabWaZuhd,Khalid Ribat,1450,114681,"الأولى، 1430 ه - 2009 م :: دار الفلاح للبحث العلمي وتحقيق التراث، الفيوم - جمهورية مصر العربية",:: Sham@الرقاق والآداب والأذكار,pri,https://raw.githubusercontent.com/OpenITI/1450AH/master/data/1450KhalidRibat/1450KhalidRibat.JamicIbnHanbalAdabWaZuhd/1450KhalidRibat.JamicIbnHanbalAdabWaZuhd.Sham19Y0020882-ara1
,yes,,,ShamAY0037834,yes,0776LisanDinIbnKhatib.Diwan,Lisan Din Ibn Khatib,776,46970,,:: ShamAY@الدواوين الشعرية - مرقم آليا :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.Diwan/0776LisanDinIbnKhatib.Diwan.ShamAY0037834-ara1
,yes,,,Shamela0011682,yes,0776LisanDinIbnKhatib.Ihata,Lisan Din Ibn Khatib,776,436542,"دار الكتب العلمية، بيروت :: http://www.worldcat.org/oclc/949484181",COMPLETED :: CENT0800 :: PPE :: BULDAN :: TABAQAT :: TARAJIM :: TARIKH :: GAL@historiography :: GAL@literature-islamic :: GAL@history :: GAL@period-postmongol :: GAL@period-mamluk :: GAL@1258-1517CE :: GAL@period-decline :: GAL@spain :: EDITORIALSECTIONS :: Shamela@التراجم والطبقات :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.Ihata/0776LisanDinIbnKhatib.Ihata.Shamela0011682-ara1.completed
,yes,,,Shamela0095575,yes,0776LisanDinIbnKhatib.JayshTawshih,Lisan Din Ibn Khatib,776,25028,هلال ناجي :: مطبعة المنار - تونس,CENT0800 :: ADAB :: BALAGHA :: GAL@nodata :: Shamela@الأدب والبلاغة :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.JayshTawshih/0776LisanDinIbnKhatib.JayshTawshih.Shamela0095575-ara1
,yes,,,Shamela0001027,yes,0776LisanDinIbnKhatib.KatibaKamina,Lisan Din Ibn Khatib,776,45852,"إحسان عباس :: دار الثقافة، بيروت - لبنان :: http://www.worldcat.org/oclc/891838333",COMPLETED :: CENT0800 :: PPE :: MISC :: TABAQAT :: TARAJIM :: GAL@historiography :: GAL@literature-islamic :: GAL@history :: GAL@period-postmongol :: GAL@period-mamluk :: GAL@1258-1517CE :: GAL@period-decline :: GAL@spain :: EDITORIALSECTIONS :: Shamela@التراجم والطبقات :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.KatibaKamina/0776LisanDinIbnKhatib.KatibaKamina.Shamela0001027-ara1.completed
,yes,,,ShamAY0033806,yes,0776LisanDinIbnKhatib.KhatraTayf,Lisan Din Ibn Khatib,776,26419,د. أحمد مختار العبادي :: الأولى/ 2003م :: دار السويدي للنشر والتوزيع - أبو ظبي/ المؤسسة العربية للدراسات والنشر - بيروت,:: ShamAY@البلدان والجغرافيا والرحلات :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.KhatraTayf/0776LisanDinIbnKhatib.KhatraTayf.ShamAY0033806-ara1
,yes,,,Shamela0011940,yes,0776LisanDinIbnKhatib.MicyarIkhtiyar,Lisan Din Ibn Khatib,776,20892,"1423 هـ :: مكتبة الثقافة الدينية، القاهرة :: http://www.worldcat.org/oclc/4770120185",COMPLETED :: CENT0800 :: GEO :: PPE :: BULDAN :: JUGHRAFIYA :: RIHLAT :: GAL@historiography :: GAL@literature-islamic :: GAL@history :: GAL@period-postmongol :: GAL@period-mamluk :: GAL@1258-1517CE :: GAL@period-decline :: GAL@spain :: EDITORIALSECTIONS :: Shamela@البلدان والجغرافيا والرحلات :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.MicyarIkhtiyar/0776LisanDinIbnKhatib.MicyarIkhtiyar.Shamela0011940-ara1.completed
,yes,,,Shamela0000477,yes,0776LisanDinIbnKhatib.NafadaJirab,Lisan Din Ibn Khatib,776,51979,,CENT0800 :: BULDAN :: JUGHRAFIYA :: MISC :: RIHLAT :: GAL@historiography :: GAL@literature-islamic :: GAL@history :: GAL@period-postmongol :: GAL@period-mamluk :: GAL@1258-1517CE :: GAL@period-decline :: GAL@spain :: Shamela@البلدان والجغرافيا والرحلات - مرقم آليا :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.NafadaJirab/0776LisanDinIbnKhatib.NafadaJirab.Shamela0000477-ara1
,yes,,,JK007042,yes,0776LisanDinIbnKhatib.RayhanatKitab,Lisan Din Ibn Khatib,776,205771,محمد عبد الله عنان :: القاهرة :: 1980م :: مكتبة الخانجي,CENT0800 :: ADAB :: ADAB :: BALAGHA :: QISAS :: TARAIF :: GAL@historiography :: GAL@literature-islamic :: GAL@history :: GAL@period-postmongol :: GAL@period-mamluk :: GAL@1258-1517CE :: GAL@period-decline :: GAL@spain :: JK@الطرائف والقصص :: JK@كتب الأدب :: born@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0776LisanDinIbnKhatib/0776LisanDinIbnKhatib.RayhanatKitab/0776LisanDinIbnKhatib.RayhanatKitab.JK007042-ara1
,yes,,,Sham19Y0017798,yes,0751IbnQayyimJawziyya.AclamMuwaqqicin,Ibn Qayyim Jawziyya,751,995802,"الأولى، 1423 ه :: دار ابن الجوزي للنشر والتوزيع، المملكة العربية السعودية",:: Sham@أصول الفقه والقواعد الفقهية :: born@ShamRE,pri,https://raw.githubusercontent.com/OpenITI/0775AH/master/data/0751IbnQayyimJawziyya/0751IbnQayyimJawziyya.AclamMuwaqqicin/0751IbnQayyimJawziyya.AclamMuwaqqicin.Sham19Y0017798-ara1
